12,3,7,5,59,1
6,4,5,2,37,0
14,4,6,3,52,1
10,7,6,2,50,1
6,5,3,2,33,0
9,8,7,0,46,0
7,6,6,4,53,1
8,7,5,3,49,0
8,4,8,3,52,1
7,4,11,1,52,1
4,4,9,3,51,1
8,5,4,2,38,0
6,4,7,4,51,1
11,6,6,4,57,1
12,5,4,4,50,1
6,7,4,0,32,0
9,7,7,2,52,1
8,4,8,1,44,0
11,6,6,4,57,1
9,6,8,2,53,1
7,5,2,2,31,0
5,6,8,1,45,0
9,4,7,2,46,0
7,6,3,1,32,0
8,4,9,1,47,0
11,6,9,5,70,1
8,7,7,2,51,1
7,7,11,1,58,1
11,5,6,4,55,1
9,4,10,3,59,1
8,8,6,3,54,1
9,6,6,1,43,0
7,8,5,5,58,1
8,8,8,2,56,1
5,5,7,0,36,0
9,5,7,1,44,0
7,5,7,2,46,0
9,6,13,3,72,1
7,7,4,0,33,0
12,5,9,2,57,1
12,8,8,3,64,1
8,5,9,3,57,1
9,7,7,2,52,1
9,4,5,1,36,0
5,3,3,2,28,0
7,4,9,2,50,1
8,4,8,2,48,0
6,6,6,4,52,1
10,8,8,3,62,1
9,9,8,4,67,1
5,4,6,1,35,0
8,9,13,3,77,1
15,6,9,2,62,1
8,7,7,1,47,0
14,11,12,2,80,1
9,5,7,2,48,0
9,7,4,2,43,0
6,4,5,1,33,0
9,3,6,2,41,0
8,4,6,1,38,0
8,3,6,3,44,0
12,4,7,2,49,0
9,4,6,3,47,0
6,5,4,2,36,0
7,5,4,0,29,0
7,6,7,1,44,0
7,10,9,2,62,1
8,5,8,0,42,0
8,6,6,3,50,1
9,7,5,4,54,1
9,11,7,1,56,1
9,5,9,0,46,0
6,5,5,3,43,0
8,7,7,2,51,1
9,4,5,1,36,0
9,5,9,2,54,1
9,7,7,0,44,0
8,6,8,2,52,1
6,6,6,1,40,0
9,6,6,5,59,1
10,5,4,2,40,0
11,6,5,4,54,1
8,6,5,1,39,0
8,3,12,1,54,1
8,6,4,1,36,0
11,9,9,0,56,1
7,7,9,1,52,1
7,3,11,2,54,1
12,7,6,1,48,0
8,4,5,2,39,0
11,5,9,4,64,1
5,8,6,1,43,0
7,9,8,5,69,1
7,5,7,1,42,0
6,6,10,1,52,1
10,5,5,3,47,0
11,5,3,2,38,0
5,6,7,0,38,0
8,4,2,1,26,0
6,6,9,5,65,1
